	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
5175	Kanye West	Hurricane	spotify:track:0RbW8kWozrVSIGb4V13o0o	1	0.587	0.561	0	-6.569	1	0.146	0.0466	0.0	0.109	0.351	80.009	audio_features	0RbW8kWozrVSIGb4V13o0o	https://api.spotify.com/v1/tracks/0RbW8kWozrVSIGb4V13o0o	https://api.spotify.com/v1/audio-analysis/0RbW8kWozrVSIGb4V13o0o	243187	4
5176	Kanye West	I Love It (& Lil Pump)	spotify:track:4S8d14HvHb70ImctNgVzQQ	6	0.901	0.522	2	-8.304	1	0.33	0.0114	0.0	0.259	0.329	104.053	audio_features	4S8d14HvHb70ImctNgVzQQ	https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ	https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ	127947	4
5177	Kanye West	I Wonder	spotify:track:7rbECVPkY5UODxoOUVKZnA	1	0.542	0.466	0	-8.665	1	0.0831	0.141	0.000445	0.125	0.124	191.385	audio_features	7rbECVPkY5UODxoOUVKZnA	https://api.spotify.com/v1/tracks/7rbECVPkY5UODxoOUVKZnA	https://api.spotify.com/v1/audio-analysis/7rbECVPkY5UODxoOUVKZnA	243440	4
5178	Kanye West	Jail	spotify:track:42ZrMq4BKsWDrrbMnMRYaK	1	0.458	0.571	4	-6.739	1	0.0949	0.535	0.000305	0.0846	0.586	110.013	audio_features	42ZrMq4BKsWDrrbMnMRYaK	https://api.spotify.com/v1/tracks/42ZrMq4BKsWDrrbMnMRYaK	https://api.spotify.com/v1/audio-analysis/42ZrMq4BKsWDrrbMnMRYaK	297000	4
5179	Kanye West	Jonah	spotify:track:3gWzTnziivUYzqXtnvgN8q	1	0.459	0.431	9	-8.375	0	0.256	0.795	0.0	0.274	0.128	177.3	audio_features	3gWzTnziivUYzqXtnvgN8q	https://api.spotify.com/v1/tracks/3gWzTnziivUYzqXtnvgN8q	https://api.spotify.com/v1/audio-analysis/3gWzTnziivUYzqXtnvgN8q	195170	4
5180	Kanye West	Love Lockdown	spotify:track:1kxeWHF9PrCVZHvVskv8lg	1	0.76	0.524	1	-7.67	0	0.0323	0.0542	0.5	0.112	0.112	119.603	audio_features	1kxeWHF9PrCVZHvVskv8lg	https://api.spotify.com/v1/tracks/1kxeWHF9PrCVZHvVskv8lg	https://api.spotify.com/v1/audio-analysis/1kxeWHF9PrCVZHvVskv8lg	270307	4
5181	Kanye West	Mercy	spotify:track:4qikXelSRKvoCqFcHLB2H2	2	0.563	0.496	6	-9.381	0	0.406	0.0685	5.8e-05	0.173	0.426	139.993	audio_features	4qikXelSRKvoCqFcHLB2H2	https://api.spotify.com/v1/tracks/4qikXelSRKvoCqFcHLB2H2	https://api.spotify.com/v1/audio-analysis/4qikXelSRKvoCqFcHLB2H2	329320	4
5182	Kanye West	Monster	spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK	4	0.628	0.692	2	-5.64	1	0.202	0.00244	0.0129	0.668	0.0963	124.887	audio_features	1ZHYJ2Wwgxes4m8Ba88PeK	https://api.spotify.com/v1/tracks/1ZHYJ2Wwgxes4m8Ba88PeK	https://api.spotify.com/v1/audio-analysis/1ZHYJ2Wwgxes4m8Ba88PeK	378893	5
5183	Kanye West	No Child Left Behind	spotify:track:3hd6zLhnTlbJ8PupYt3cAI	2	0.161	0.327	1	-8.059	0	0.0341	0.00632	0.792	0.138	0.0815	135.382	audio_features	3hd6zLhnTlbJ8PupYt3cAI	https://api.spotify.com/v1/tracks/3hd6zLhnTlbJ8PupYt3cAI	https://api.spotify.com/v1/audio-analysis/3hd6zLhnTlbJ8PupYt3cAI	178061	3
5184	Kanye West	No More Parties In LA	spotify:track:0zLClc0emc6qUeV1p5nc99	1	0.508	0.921	5	-1.644	1	0.303	0.246	0.0	0.221	0.681	93.058	audio_features	0zLClc0emc6qUeV1p5nc99	https://api.spotify.com/v1/tracks/0zLClc0emc6qUeV1p5nc99	https://api.spotify.com/v1/audio-analysis/0zLClc0emc6qUeV1p5nc99	374413	4
