	artist_name	track_name	uri	plays	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature	0_y	User
3656	Imagine Dragons	Believer	spotify:track:0pqnGHJpmpxLKifKRmU6WP	2	0.776	0.78	10.0	-4.374	0.0	0.128	0.0622	0.0	0.081	0.666	124.949	audio_features	0pqnGHJpmpxLKifKRmU6WP	https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP	https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP	204347.0	4.0		Sean
3657	Imagine Dragons	Believer	spotify:track:0pqnGHJpmpxLKifKRmU6WP	2	0.776	0.78	10.0	-4.374	0.0	0.128	0.0622	0.0	0.081	0.666	124.949	audio_features	0pqnGHJpmpxLKifKRmU6WP	https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP	https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP	204347.0	4.0		Sean
3658	Imagine Dragons	Bones	spotify:track:0HqZX76SFLDz2aW8aiqi7G	74	0.773	0.742	5.0	-3.678	0.0	0.046	0.0206	0.0	0.0754	0.571	114.071	audio_features	0HqZX76SFLDz2aW8aiqi7G	https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G	https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G	165265.0	4.0		Sean
3659	Imagine Dragons	Bones	spotify:track:0HqZX76SFLDz2aW8aiqi7G	74	0.773	0.742	5.0	-3.678	0.0	0.046	0.0206	0.0	0.0754	0.571	114.071	audio_features	0HqZX76SFLDz2aW8aiqi7G	https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G	https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G	165265.0	4.0		Sean
3660	Imagine Dragons	Demons	spotify:track:3LlAyCYU26dvFZBDUIMb7a	4	0.505	0.71	3.0	-3.015	1.0	0.0321	0.19	0.00025	0.329	0.428	89.938	audio_features	3LlAyCYU26dvFZBDUIMb7a	https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a	https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a	175200.0	4.0		Sean
3661	Imagine Dragons	Demons	spotify:track:3LlAyCYU26dvFZBDUIMb7a	4	0.505	0.71	3.0	-3.015	1.0	0.0321	0.19	0.00025	0.329	0.428	89.938	audio_features	3LlAyCYU26dvFZBDUIMb7a	https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a	https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a	175200.0	4.0		Sean
3662	Imagine Dragons	Enemy - From the series Arcane League of Legends	spotify:track:5UlnuulVAVmmesw4VzqHdG	1	0.722	0.745	7.0	-4.164	1.0	0.256	0.247	0.0	0.419	0.52	77.029	audio_features	5UlnuulVAVmmesw4VzqHdG	https://api.spotify.com/v1/tracks/5UlnuulVAVmmesw4VzqHdG	https://api.spotify.com/v1/audio-analysis/5UlnuulVAVmmesw4VzqHdG	173381.0	4.0		Sean
3663	Imagine Dragons	It's Time	spotify:track:6BtmXhTJMM9sBTHeYYASGz	47	0.656	0.884	2.0	-4.748	1.0	0.0372	0.0162	0.0	0.145	0.86	105.009	audio_features	6BtmXhTJMM9sBTHeYYASGz	https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz	https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz	237987.0	4.0		Sean
3664	Imagine Dragons	It's Time	spotify:track:6BtmXhTJMM9sBTHeYYASGz	47	0.656	0.884	2.0	-4.748	1.0	0.0372	0.0162	0.0	0.145	0.86	105.009	audio_features	6BtmXhTJMM9sBTHeYYASGz	https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz	https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz	237987.0	4.0		Sean
3665	Imagine Dragons	On Top Of The World	spotify:track:6KuHjfXHkfnIjdmcIvt9r0	1	0.635	0.926	0.0	-5.589	1.0	0.151	0.0893	4.53e-06	0.0928	0.761	100.048	audio_features	6KuHjfXHkfnIjdmcIvt9r0	https://api.spotify.com/v1/tracks/6KuHjfXHkfnIjdmcIvt9r0	https://api.spotify.com/v1/audio-analysis/6KuHjfXHkfnIjdmcIvt9r0	189840.0	4.0		Sean
