	artist_name	track_name	uri	num_listens	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
1507	Fitz and The Tantrums	Out of My League	spotify:track:2AYEOC02WLhUiOoaig2SEH	7	0.545	0.968	9	-3.553	0	0.0853	0.0387	0.00325	0.331	0.527	169.965	audio_features	2AYEOC02WLhUiOoaig2SEH	https://api.spotify.com/v1/tracks/2AYEOC02WLhUiOoaig2SEH	https://api.spotify.com/v1/audio-analysis/2AYEOC02WLhUiOoaig2SEH	209386	4
1508	Fivio Foreign	Hello (feat. Chlöe & KayCyy)	spotify:track:0GrygSHJw7Hkc7Ih5X1wkX	35	0.538	0.522	6	-8.901	0	0.334	0.246	0	0.227	0.346	99.57	audio_features	0GrygSHJw7Hkc7Ih5X1wkX	https://api.spotify.com/v1/tracks/0GrygSHJw7Hkc7Ih5X1wkX	https://api.spotify.com/v1/audio-analysis/0GrygSHJw7Hkc7Ih5X1wkX	264794	3
1509	Fleetwood Mac	Dreams - 2004 Remaster	spotify:track:0ofHAoxe9vBkTCp2UQIavz	5	0.828	0.492	0	-9.744	1	0.0276	0.0644	0.00428	0.128	0.789	120.151	audio_features	0ofHAoxe9vBkTCp2UQIavz	https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz	https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz	257800	4
1510	Flight Facilities	Crave You	spotify:track:4ESWJepzBtY2lR9oZDYVaP	143	0.921	0.48	1	-9.2	0	0.0823	0.0976	0	0.0768	0.317	120.043	audio_features	4ESWJepzBtY2lR9oZDYVaP	https://api.spotify.com/v1/tracks/4ESWJepzBtY2lR9oZDYVaP	https://api.spotify.com/v1/audio-analysis/4ESWJepzBtY2lR9oZDYVaP	234787	4
1511	Flight Facilities	Crave You	spotify:track:5mdzg7ZwebXNb90LPRusAs	54	0.921	0.48	1	-9.2	0	0.0815	0.1	0	0.0764	0.318	120.043	audio_features	5mdzg7ZwebXNb90LPRusAs	https://api.spotify.com/v1/tracks/5mdzg7ZwebXNb90LPRusAs	https://api.spotify.com/v1/audio-analysis/5mdzg7ZwebXNb90LPRusAs	234787	4
1512	Flipp Dinero	Leave Me Alone	spotify:track:14mHfNsSHN0FbLftyjrV9g	6	0.792	0.743	7	-2.806	1	0.0851	0.107	0	0.183	0.742	150.024	audio_features	14mHfNsSHN0FbLftyjrV9g	https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g	https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g	195637	4
1513	Flipp Dinero	No Option	spotify:track:2LNiTlYDSFntPkU3qvUc6Y	3	0.819	0.569	1	-8.91	1	0.129	0.119	0	0.0659	0.799	112.976	audio_features	2LNiTlYDSFntPkU3qvUc6Y	https://api.spotify.com/v1/tracks/2LNiTlYDSFntPkU3qvUc6Y	https://api.spotify.com/v1/audio-analysis/2LNiTlYDSFntPkU3qvUc6Y	229414	4
1514	Flo Milli	19	spotify:track:0bC9bBw2WFJq7Izx6o42E4	23	0.962	0.862	6	-3.278	0	0.299	0.228	0	0.0975	0.421	120.022	audio_features	0bC9bBw2WFJq7Izx6o42E4	https://api.spotify.com/v1/tracks/0bC9bBw2WFJq7Izx6o42E4	https://api.spotify.com/v1/audio-analysis/0bC9bBw2WFJq7Izx6o42E4	144000	4
1515	Flo Milli	Beef FloMix	spotify:track:4J2NxCNqehE0MiZhbu97Jx	4	0.857	0.575	7	-8.36	1	0.221	0.239	0	0.293	0.901	116.993	audio_features	4J2NxCNqehE0MiZhbu97Jx	https://api.spotify.com/v1/tracks/4J2NxCNqehE0MiZhbu97Jx	https://api.spotify.com/v1/audio-analysis/4J2NxCNqehE0MiZhbu97Jx	147692	4
1516	Flo Milli	Beef FloMix	spotify:track:7qdFz1dTJqgdVe6NA4F4DP	249	0.879	0.733	11	-3.953	0	0.142	0.216	0	0.274	0.913	117.039	audio_features	7qdFz1dTJqgdVe6NA4F4DP	https://api.spotify.com/v1/tracks/7qdFz1dTJqgdVe6NA4F4DP	https://api.spotify.com/v1/audio-analysis/7qdFz1dTJqgdVe6NA4F4DP	147692	4
